alias	github_url	added_date	status	skills	agents	commands	notes
alirezarezvani-claude-skills	https://github.com/alirezarezvani/claude-skills.git	2026-04-09	active	-	-	-	initial
anthropics-skills	https://github.com/anthropics/skills.git	2026-04-09	active	-	-	-	initial
antigravity-awesome-skills	https://github.com/sickn33/antigravity-awesome-skills.git	2026-04-09	active	-	-	-	initial
awesome-chatgpt-prompts	https://github.com/f/awesome-chatgpt-prompts.git	2026-04-09	active	-	-	-	initial
awesome-claude-code	https://github.com/hesreallyhim/awesome-claude-code.git	2026-04-09	active	-	-	-	initial
awesome-cursorrules	https://github.com/PatrickJS/awesome-cursorrules.git	2026-04-09	active	-	-	-	initial
continuous-claude-v3	https://github.com/parcadei/Continuous-Claude-v3.git	2026-04-09	active	-	-	-	initial
elifuzz-system-prompts	https://github.com/EliFuzz/awesome-system-prompts.git	2026-04-09	active	-	-	-	initial
everything-claude-code	https://github.com/affaan-m/everything-claude-code.git	2026-04-09	active	-	-	-	initial
piebald-claude-prompts	https://github.com/Piebald-AI/claude-code-system-prompts.git	2026-04-09	active	-	-	-	initial
prompt-engineering-guide	https://github.com/dair-ai/Prompt-Engineering-Guide.git	2026-04-09	active	-	-	-	initial
rohitg00-toolkit	https://github.com/rohitg00/awesome-claude-code-toolkit.git	2026-04-09	active	-	-	-	initial
system-prompts-collection	https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools.git	2026-04-09	active	-	-	-	initial
voltagent-subagents	https://github.com/VoltAgent/awesome-claude-code-subagents.git	2026-04-09	active	-	-	-	initial
